,tconst,films,Unnamed: 0,Unnamed: 0.1,averageRating,Films,Img,Année,runtimeMinutes,genres,Decennie
0,tt1375666,Inception ,22448,24547,8.8,Inception,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@.jpg,2010,148,"['Action', 'Adventure', 'Sci-Fi']",2010s
1,tt0107290,Jurassic Park,10577,11884,8.2,Jurassic Park,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@.jpg,1993,127,"['Action', 'Adventure', 'Sci-Fi']",1990s
2,tt0372784,Batman Begins,17075,18890,8.3,Batman Begins,https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,2005,140,"['Action', 'Crime', 'Drama']",2000s
3,tt0381061,Casino Royale,17247,19065,8.0,Casino Royale,https://m.media-amazon.com/images/M/MV5BMDI5ZWJhOWItYTlhOC00YWNhLTlkNzctNDU5YTI1M2E1MWZhXkEyXkFqcGdeQXVyNTIzOTk5ODM@.jpg,2006,144,"['Action', 'Adventure', 'Thriller']",2000s
4,tt0440963,La vengeance dans la peau,18285,20158,8.0,La vengeance dans la peau,https://m.media-amazon.com/images/M/MV5BNGNiNmU2YTMtZmU4OS00MjM0LTlmYWUtMjVlYjAzYjE2N2RjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@.jpg,2007,115,"['Action', 'Mystery', 'Thriller']",2000s
5,tt0816692,Interstellar,19744,21697,8.7,Interstellar,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,2014,169,"['Adventure', 'Drama', 'Sci-Fi']",2010s
6,tt0114709,Toy Story,11619,12994,8.3,Toy Story,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@.jpg,1995,81,"['Adventure', 'Animation', 'Comedy']",1990s
7,tt0266543,Le Monde de Nemo,15315,16986,8.2,Le Monde de Nemo,https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,2003,100,"['Adventure', 'Animation', 'Comedy']",2000s
8,tt1675434,Intouchables,23835,26003,8.5,Intouchables,https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@.jpg,2011,112,"['Biography', 'Comedy', 'Drama']",2010s
9,tt0253474,Le pianiste,15108,16766,8.6,Le pianiste,https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,2002,150,"['Biography', 'Drama', 'Music']",2000s
