,nconst,Catégorie,primaryName
0,nm0000001,Acteur,Fred Astaire
13,nm0000002,Acteur,Lauren Bacall
38,nm0000003,Acteur,Brigitte Bardot
56,nm0000004,Acteur,John Belushi
62,nm0000005,Réalisateur,Ingmar Bergman
64,nm0000006,Acteur,Ingrid Bergman
80,nm0000006,Producteur,Ingrid Bergman
82,nm0000007,Acteur,Humphrey Bogart
97,nm0000008,Acteur,Marlon Brando
135,nm0000009,Acteur,Richard Burton
169,nm0000010,Acteur,James Cagney
182,nm0000011,Acteur,Gary Cooper
196,nm0000012,Acteur,Bette Davis
220,nm0000013,Acteur,Doris Day
252,nm0000014,Acteur,Olivia de Havilland
259,nm0000015,Acteur,James Dean
262,nm0000016,Compositeur,Georges Delerue
342,nm0000017,Acteur,Marlene Dietrich
347,nm0000018,Acteur,Kirk Douglas
400,nm0000019,Réalisateur,Federico Fellini
423,nm0000020,Acteur,Henry Fonda
454,nm0000021,Acteur,Joan Fontaine
464,nm0000022,Acteur,Clark Gable
476,nm0000023,Acteur,Judy Garland
481,nm0000024,Acteur,John Gielgud
484,nm0000024,Réalisateur,John Gielgud
501,nm0000025,Compositeur,Jerry Goldsmith
626,nm0000026,Acteur,Cary Grant
644,nm0000027,Acteur,Alec Guinness
673,nm0000028,Acteur,Rita Hayworth
684,nm0000029,Acteur,Margaux Hemingway
688,nm0000030,Acteur,Audrey Hepburn
707,nm0000031,Acteur,Katharine Hepburn
724,nm0000032,Acteur,Charlton Heston
769,nm0000033,Réalisateur,Alfred Hitchcock
787,nm0000034,Acteur,William Holden
826,nm0000035,Compositeur,James Horner
893,nm0000036,Réalisateur,Buster Keaton
894,nm0000036,Acteur,Buster Keaton
897,nm0000037,Acteur,Gene Kelly
907,nm0000037,Réalisateur,Gene Kelly
916,nm0000038,Acteur,Grace Kelly
926,nm0000039,Acteur,Deborah Kerr
949,nm0000040,Réalisateur,Stanley Kubrick
962,nm0000041,Réalisateur,Akira Kurosawa
983,nm0000042,Acteur,Alan Ladd
997,nm0000044,Acteur,Burt Lancaster
1046,nm0000045,Acteur,Bruce Lee
1047,nm0000046,Acteur,Vivien Leigh
1051,nm0000047,Acteur,Sophia Loren
1091,nm0000048,Acteur,Peter Lorre
1099,nm0000049,Compositeur,Henry Mancini
1161,nm0000050,Acteur,Groucho Marx
1164,nm0000051,Acteur,James Mason
1221,nm0000052,Acteur,Marcello Mastroianni
1273,nm0000053,Acteur,Robert Mitchum
1321,nm0000054,Acteur,Marilyn Monroe
1337,nm0000055,Compositeur,Alfred Newman
1356,nm0000056,Acteur,Paul Newman
1380,nm0000056,Réalisateur,Paul Newman
1411,nm0000057,Acteur,David Niven
1439,nm0000058,Acteur,Maureen O'Hara
1458,nm0000059,Acteur,Laurence Olivier
1468,nm0000059,Réalisateur,Laurence Olivier
1481,nm0000060,Acteur,Gregory Peck
1511,nm0000060,Producteur,Gregory Peck
1520,nm0000061,Acteur,Tyrone Power
1530,nm0000062,Acteur,Elvis Presley
1559,nm0000063,Acteur,Anthony Quinn
1573,nm0000063,Réalisateur,Anthony Quinn
1619,nm0000064,Acteur,Edward G. Robinson
1638,nm0000065,Compositeur,Nino Rota
1669,nm0000066,Acteur,Jane Russell
1679,nm0000067,Compositeur,Miklós Rózsa
1707,nm0000068,Acteur,Randolph Scott
1729,nm0000069,Acteur,Frank Sinatra
1760,nm0000070,Compositeur,Max Steiner
1800,nm0000071,Acteur,James Stewart
1838,nm0000072,Acteur,Elizabeth Taylor
1863,nm0000074,Acteur,Gene Tierney
1874,nm0000075,Acteur,Spencer Tracy
1891,nm0000076,Réalisateur,François Truffaut
1898,nm0000076,Acteur,François Truffaut
1901,nm0000076,Producteur,François Truffaut
1914,nm0000077,Compositeur,Franz Waxman
1943,nm0000078,Acteur,John Wayne
1944,nm0000078,Producteur,John Wayne
1990,nm0000079,Acteur,Raquel Welch
2009,nm0000080,Acteur,Orson Welles
2016,nm0000080,Réalisateur,Orson Welles
2035,nm0000081,Acteur,Natalie Wood
2056,nm0000082,Compositeur,Victor Young
2079,nm0000084,Acteur,Gong Li
2084,nm0000086,Acteur,Louis de Funès
2113,nm0000087,Acteur,Elena Koreneva
2114,nm0000088,Réalisateur,Aleksey Korenev
2115,nm0000089,Acteur,Richard Paul
2116,nm0000090,Acteur,Armin Mueller-Stahl
2133,nm0000091,Réalisateur,Gérard Pirès
2138,nm0000092,Acteur,John Cleese
2157,nm0000093,Acteur,Brad Pitt
2185,nm0000093,Producteur,Brad Pitt
2203,nm0000095,Acteur,Woody Allen
2212,nm0000095,Réalisateur,Woody Allen
2259,nm0000096,Acteur,Gillian Anderson
2272,nm0000097,Acteur,Pamela Anderson
2279,nm0000098,Acteur,Jennifer Aniston
2307,nm0000098,Réalisateur,Jennifer Aniston
2312,nm0000099,Acteur,Patricia Arquette
2335,nm0000100,Acteur,Rowan Atkinson
2343,nm0000101,Acteur,Dan Aykroyd
2381,nm0000102,Acteur,Kevin Bacon
2401,nm0000102,Réalisateur,Kevin Bacon
2429,nm0000103,Acteur,Fairuza Balk
2442,nm0000104,Acteur,Antonio Banderas
2460,nm0000104,Réalisateur,Antonio Banderas
2479,nm0000104,Producteur,Antonio Banderas
2492,nm0000105,Acteur,Adrienne Barbeau
2505,nm0000106,Acteur,Drew Barrymore
2543,nm0000107,Acteur,Kim Basinger
2576,nm0000108,Réalisateur,Luc Besson
2580,nm0000108,Producteur,Luc Besson
2602,nm0000109,Acteur,Yasmine Bleeth
2603,nm0000110,Acteur,Kenneth Branagh
2609,nm0000110,Réalisateur,Kenneth Branagh
2631,nm0000111,Acteur,Matthew Broderick
2669,nm0000112,Acteur,Pierce Brosnan
2707,nm0000112,Producteur,Pierce Brosnan
2708,nm0000113,Acteur,Sandra Bullock
2743,nm0000114,Acteur,Steve Buscemi
2755,nm0000114,Réalisateur,Steve Buscemi
2776,nm0000115,Acteur,Nicolas Cage
2806,nm0000115,Producteur,Nicolas Cage
2814,nm0000115,Réalisateur,Nicolas Cage
2853,nm0000116,Réalisateur,James Cameron
2860,nm0000116,Producteur,James Cameron
2862,nm0000117,Acteur,Neve Campbell
2882,nm0000118,Réalisateur,John Carpenter
2896,nm0000118,Acteur,John Carpenter
2903,nm0000119,Acteur,Tia Carrere
2919,nm0000120,Acteur,Jim Carrey
2947,nm0000121,Acteur,Phoebe Cates
2958,nm0000122,Acteur,Charles Chaplin
2960,nm0000122,Réalisateur,Charles Chaplin
2961,nm0000123,Acteur,George Clooney
2976,nm0000123,Producteur,George Clooney
3000,nm0000124,Acteur,Jennifer Connelly
3032,nm0000125,Acteur,Sean Connery
3085,nm0000126,Acteur,Kevin Costner
3100,nm0000126,Producteur,Kevin Costner
3125,nm0000127,Réalisateur,Wes Craven
3147,nm0000128,Acteur,Russell Crowe
3183,nm0000129,Acteur,Tom Cruise
3199,nm0000129,Producteur,Tom Cruise
3222,nm0000130,Acteur,Jamie Lee Curtis
3251,nm0000131,Acteur,John Cusack
3308,nm0000132,Acteur,Claire Danes
3328,nm0000133,Acteur,Geena Davis
3343,nm0000134,Acteur,Robert De Niro
3371,nm0000134,Producteur,Robert De Niro
3432,nm0000135,Acteur,John Denver
3433,nm0000136,Acteur,Johnny Depp
3466,nm0000136,Producteur,Johnny Depp
3481,nm0000137,Acteur,Bo Derek
3487,nm0000138,Acteur,Leonardo DiCaprio
3502,nm0000138,Producteur,Leonardo DiCaprio
